Experience,Accuracy
Exp000,1.0
Exp001,1.0
Exp002,1.0
Exp003,0.9
Exp004,1.0
Exp005,1.0
Exp006,0.9
Exp007,1.0
Exp008,1.0
Exp009,1.0
Exp010,1.0
Exp011,1.0
Exp012,1.0
Exp013,1.0
Exp014,1.0
Exp015,1.0
Exp016,0.9
Exp017,1.0
Exp018,1.0
Exp019,1.0
Exp020,1.0
Exp021,1.0
Exp022,0.9
Exp023,1.0
Exp024,1.0
Exp025,1.0
Exp026,1.0
Exp027,1.0
Exp028,1.0
Exp029,0.9
Cumulative Set 0,0.9833333492279053
Cumulative Set 1,0.9818181991577148
Cumulative Set 2,0.987500011920929
Cumulative Set 3,0.9857142567634583
Cumulative Set 4,0.9846153855323792
Cumulative Set 5,0.9838709831237793
